team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
DetonatioN FocusMe,1,L,1,Fracture,L,8,13,8-13,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
DetonatioN FocusMe,1,L,2,Ascent,L,6,13,6-13,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
DetonatioN FocusMe,2,L,1,Ascent,W,13,11,13-11,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
DetonatioN FocusMe,2,L,2,Lotus,L,7,13,7-13,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
DetonatioN FocusMe,2,L,3,Pearl,L,13,15,13-15,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
DetonatioN FocusMe,3,L,1,Lotus,L,2,13,2-13,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
DetonatioN FocusMe,3,L,2,Fracture,L,4,13,4-13,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
DetonatioN FocusMe,4,L,1,Lotus,L,3,13,3-13,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
DetonatioN FocusMe,4,L,2,Ascent,L,8,13,8-13,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
DetonatioN FocusMe,5,L,1,Lotus,L,7,13,7-13,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
DetonatioN FocusMe,5,L,2,Pearl,L,11,13,11-13,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
DetonatioN FocusMe,6,L,1,Abyss,L,6,13,6-13,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
DetonatioN FocusMe,6,L,2,Lotus,L,6,13,6-13,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
DetonatioN FocusMe,7,W,1,Abyss,W,13,10,13-10,https://www.vlr.gg/430531/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-kickoff-lr2
DetonatioN FocusMe,7,W,2,Pearl,W,13,1,13-1,https://www.vlr.gg/430531/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-kickoff-lr2
DetonatioN FocusMe,8,W,1,Abyss,W,13,8,13-8,https://www.vlr.gg/430528/global-esports-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr1
DetonatioN FocusMe,8,W,2,Split,W,14,12,14-12,https://www.vlr.gg/430528/global-esports-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr1
DetonatioN FocusMe,9,L,1,Abyss,W,14,12,14-12,https://www.vlr.gg/430517/detonation-focusme-vs-rex-regum-qeon-champions-tour-2025-pacific-kickoff-ur1
DetonatioN FocusMe,9,L,2,Pearl,L,3,13,3-13,https://www.vlr.gg/430517/detonation-focusme-vs-rex-regum-qeon-champions-tour-2025-pacific-kickoff-ur1
DetonatioN FocusMe,9,L,3,Haven,L,3,13,3-13,https://www.vlr.gg/430517/detonation-focusme-vs-rex-regum-qeon-champions-tour-2025-pacific-kickoff-ur1
DetonatioN FocusMe,10,L,1,Haven,L,4,13,4-13,https://www.vlr.gg/423497/zeta-division-vs-detonation-focusme-riot-games-one-2024-d2
DetonatioN FocusMe,11,L,1,Abyss,L,10,13,10-13,https://www.vlr.gg/423496/fnatic-vs-detonation-focusme-riot-games-one-2024-d2
DetonatioN FocusMe,12,W,1,Bind,W,13,8,13-8,https://www.vlr.gg/423492/leviat-n-vs-detonation-focusme-riot-games-one-2024-d1
DetonatioN FocusMe,13,L,1,Ascent,L,10,13,10-13,https://www.vlr.gg/418817/detonation-focusme-vs-paper-rex-valorant-radiant-asia-invitational-gf
DetonatioN FocusMe,13,L,2,Haven,W,13,6,13-6,https://www.vlr.gg/418817/detonation-focusme-vs-paper-rex-valorant-radiant-asia-invitational-gf
DetonatioN FocusMe,13,L,3,Abyss,L,2,13,2-13,https://www.vlr.gg/418817/detonation-focusme-vs-paper-rex-valorant-radiant-asia-invitational-gf
DetonatioN FocusMe,13,L,4,Pearl,L,7,13,7-13,https://www.vlr.gg/418817/detonation-focusme-vs-paper-rex-valorant-radiant-asia-invitational-gf
DetonatioN FocusMe,14,W,1,Split,W,15,13,15-13,https://www.vlr.gg/418816/detonation-focusme-vs-paper-rex-valorant-radiant-asia-invitational-ubf
DetonatioN FocusMe,14,W,2,Ascent,W,13,8,13-8,https://www.vlr.gg/418816/detonation-focusme-vs-paper-rex-valorant-radiant-asia-invitational-ubf
